Summary,Issue Type,Epic Name,Description,Acceptance Criteria,Priority,Component,PR,Labels
Epic A — Scheduling UX,Epic,,Roadmap: publish later UI + scheduled list + card actions.,"Epic complete when: composer sends publishedAt for future posts; SCHEDULED status used; creators see Scheduled tab; cancel/reschedule works; members do not see until publish time.",P0,Announcements,,announcements roadmap
BE: Zod + service rules for publishedAt and SCHEDULED,Story,Epic A — Scheduling UX,"Extend createAnnouncementSchema and update paths: optional publishedAt (ISO datetime). If publishedAt > now+2min and status not DRAFT → derive SCHEDULED. PATCH: reschedule only while SCHEDULED (define forbidden transitions).","API returns 400 on invalid publishedAt. Creating with future publishedAt persists SCHEDULED and does not emit realtime until publish. Unit tests cover create + patch.",P0,Backend,PR2,announcements scheduling
FE: Schedule for later in create-dialog step 2,Story,Epic A — Scheduling UX,"Toggle Schedule for later; datetime-local + timezone selector (default browser TZ); submit includes publishedAt; button label Schedule vs Post; toast shows scheduled local time.","When toggle off behavior matches current immediate publish. When on publishedAt sent and validated. Timezone sent or stored per product decision.",P0,Frontend,PR6,announcements scheduling
FE: Scheduled tab in announcement-feed (creator-only),Story,Epic A — Scheduling UX,"New tab visible only to DEAN/SUPER_ADMIN (and creator). Fetches GET / with status=SCHEDULED filter (server-side once PR3 lands).","Tab shows only caller's scheduled posts or all scheduled in scope per spec. Empty state when none.",P0,Frontend,PR7,announcements scheduling
FE: Scheduled card badge and publish time line,Story,Epic A — Scheduling UX,"AnnouncementCard shows Scheduled badge and Publishes at datetime for status=SCHEDULED.","Badge meets non-color accessibility (icon+text). Date format consistent with app locale.",P0,Frontend,PR7,announcements scheduling
FE: Card menu — Cancel schedule and Reschedule,Story,Epic A — Scheduling UX,"Manage menu: Cancel schedule → PATCH status DRAFT or ARCHIVED per product pick. Reschedule → inline or modal datetime then PATCH publishedAt.","Actions disabled for non-managers. Success toast and list refresh.",P0,Frontend,PR7,announcements scheduling
Socket: move card from Scheduled to Live on publish,Story,Epic A — Scheduling UX,"On announcement:new or update when status flips to PUBLISHED remove from scheduled list client-side and add to main feed order.","No duplicate cards. Sort matches pinned then new then createdAt.",P0,Frontend,PR7,announcements realtime
Epic B — Drafts + save flow,Epic,,Roadmap: DRAFT status UI autosave drafts tab retention.,"Epic complete when: users can save draft without publish; list drafts; resume; badge count; stale drafts cleaned 30d.",P0,Announcements,,announcements roadmap
BE: DRAFT create without fanout or publish jobs,Story,Epic B — Drafts + save flow,"POST with status=DRAFT creates row minimal required fields; skip enqueueAnnouncementJobs and skip emitAnnouncementRealtimeEvent until publish.","DRAFT never appears in public feed queries. Creator can PATCH body repeatedly.",P0,Backend,PR2,announcements drafts
BE: GET list filter status=DRAFT scoped to createdById,Story,Epic B — Drafts + save flow,"GET / supports status=DRAFT and returns only announcements where createdById equals current user (and role allowed).","Other users never receive drafts in list. Pagination works.",P0,Backend,PR2,announcements drafts
FE: Drafts tab and compose draft count badge,Story,Epic B — Drafts + save flow,"Drafts tab for managers; badge on New announcement shows draft count from API or lightweight count endpoint.","Badge updates after save/delete draft.",P0,Frontend,PR6,announcements drafts
FE: Debounced autosave PATCH while composing,Story,Epic B — Drafts + save flow,"After first persist id exists; on title/content change debounce 500ms PATCH status=DRAFT with body. On close without publish trigger save once.","No data loss on accidental close. Handles network errors with retry toast.",P0,Frontend,PR6,announcements drafts
FE: Resume draft opens CreateDialog prefilled,Story,Epic B — Drafts + save flow,"Click draft row loads GET /:id and hydrates create-dialog including step state if needed.","Edit mode clearly indicated. Images and targets restore per API contract.",P0,Frontend,PR6,announcements drafts
BE: Cron retention drafts older than 30 days,Story,Epic B — Drafts + save flow,"Scheduled job marks DRAFT as ARCHIVED or hard-deletes per policy; logs count.","Only DRAFT touched. Does not affect published posts.",P0,Backend,PR2,announcements drafts
Epic C — Server-side filter API,Epic,,Roadmap: GET query params full-text read filter indexes total count.,"Epic complete when: feed search and filters hit server across all pages; GIN index verified.",P0,Announcements,,announcements roadmap
BE: GET / query params q priority targetType dateFrom dateTo status read,Story,Epic C — Server-side filter API,"Extend routes.announcements list handler to parse query string and pass into Prisma where builder alongside visibility where.","All params optional. Invalid dates return 400.",P0,Backend,PR3,announcements search
BE: Full-text search via searchVector with ILIKE fallback,Story,Epic C — Server-side filter API,"When GIN index exists use plainto_tsquery; else ILIKE on title and content. Unify or deprecate duplicate GET /search if redundant.","Large dataset query completes under agreed SLA. No SQL injection.",P0,Backend,PR3,announcements search
BE: read filter joins AnnouncementRead for current user,Story,Epic C — Server-side filter API,"read=READ|UNREAD filters using read receipts for authenticated user.","Matches client expectations. Document semantics for SCHEDULED rows.",P0,Backend,PR3,announcements search
BE: Response totalCount for pagination UI,Story,Epic C — Server-side filter API,"Return total matching count in JSON body or X-Total-Count header consistent with existing pagination envelope.","FE can show result count and last page.",P0,Backend,PR3,announcements search
DB: Indexes status publishedAt createdBy status expiresAt isActive,Story,Epic C — Server-side filter API,"Prisma migration adds composite indexes per roadmap. Verify searchVector GIN.","migrate deploy succeeds. Explain analyze shows index use on sample queries.",P0,Database,PR1,announcements performance
FE: AnnouncementFeed uses server as source of truth for filters,Story,Epic C — Server-side filter URL sync,"Replace client-only filter of loaded array with query key including filter object; refetch on change; skeleton Loading across all announcements.","Changing filter does not hide older matches. URL still syncs for shareable state.",P0,Frontend,PR7,announcements search
Epic D — Notification preferences + unification,Epic,,Roadmap: per-user channel toggles quiet hours digest prefs enforced in send pipelines.,"Epic complete when: prefs stored; API; UI; realtime SMS push respect prefs and quiet hours.",P0,Announcements,,announcements roadmap
DB: AnnouncementNotificationPreference 1:1 User,Story,Epic D — Notification preferences + unification,"Fields: userId unique inApp sms push emailDigest enum quietHoursStart quietHoursEnd timezone optional. Migration + seed defaults.","Every user gets row on first access or migration backfill.",P0,Database,PR1,announcements notifications
BE: GET PATCH /api/me/announcement-preferences,Story,Epic D — Notification preferences + unification,"Validate HH:MM quiet hours; validate digest enum; auth only self.","Returns 401 unauthenticated. PATCH partial updates supported.",P0,Backend,PR4,announcements notifications
BE: Enforce prefs in announcementRealtime user fanout,Story,Epic D — Notification preferences + unification,"Before io.to user emit check in_app and quiet hours in user TZ.","Users with in_app false receive no user room event; scope rooms policy documented if unchanged.",P0,Backend,PR4,announcements realtime
BE: Enforce prefs in announcementSms.service,Story,Epic D — Notification preferences + unification,"If sms pref false or quiet hours skip send with structured log reason.","No SMS outside prefs. Works with Epic E opt-in if both required.",P0,Backend,PR4,announcements sms
BE: Enforce prefs for web push fanout if applicable,Story,Epic D — Notification preferences + unification,"When push notifications sent from announcement pipeline respect push pref and quiet hours.","If push not wired from announcements document gap and stub skip.",P0,Backend,PR4,announcements push
FE: User settings notification preferences panel,Story,Epic D — Notification preferences + unification,"Toggles per channel quiet hours pickers digest frequency SMS enable CTA with consent copy saves via PATCH me preferences.","Mobile layout usable. Errors surfaced.",P0,Frontend,PR8,announcements notifications
Docs: Single env doc VAPID Twilio Redis scheduler,Story,Epic D — Notification preferences + unification,"README or docs/operations/announcements-notifications.md lists all env vars and behavior.","Onboarding engineer can configure without reading code.",P0,Documentation,PR4,announcements docs
Epic E — SMS compliance hardening,Epic,,Roadmap: smsOptIn rate limit audit admin read priority gate.,"Epic complete when: no SMS without opt-in; rate limit; audit rows; admin list; urgent-only if configured.",P1,Announcements,,announcements roadmap
DB: User.smsOptIn boolean default false,Story,Epic E — SMS compliance hardening,"Migration adds column; default false for all existing users.","Prisma client regenerated.",P1,Database,PR1,announcements sms
DB: SmsAuditLog model,Story,Epic E — SMS compliance hardening,"Fields userId announcementId phoneNumber status enum reason sentAt. Indexes for admin query.","FK constraints and retention policy note in description.",P1,Database,PR1,announcements sms
BE: Redis INCR rate limit 3 SMS per user per day,Story,Epic E — SMS compliance hardening,"Key pattern sms:limit:{userId}:{yyyy-mm-dd} EXPIRE 86400. Skip send when over limit log SmsAuditLog SKIPPED.","Concurrency safe. Unit test with fake Redis or integration.",P1,Backend,PR5,announcements sms
BE: announcementSms check smsOptIn before send,Story,Epic E — SMS compliance hardening,"Combine with notification prefs from Epic D order: opt-in then prefs then rate limit then priority gate.","Log each skip reason to SmsAuditLog.",P1,Backend,PR5,announcements sms
BE: Optional SMS only for urgent priority,Story,Epic E — SMS compliance hardening,"Config flag ANNOUNCEMENT_SMS_MIN_PRIORITY or hardcode urgent only.","Normal priority with notifySms true does not send when gate on.",P1,Backend,PR5,announcements sms
BE: GET /admin/sms-audit SUPER_ADMIN paginated,Story,Epic E — SMS compliance hardening,"List SmsAuditLog with filters by date user announcement.","403 for non super admin. PII masked in list if required.",P1,Backend,PR5,announcements sms
FE: SMS opt-in flow and consent copy,Story,Epic E — SMS compliance hardening,"From settings CTA to opt-in PATCH user.smsOptIn true with confirm modal.","Cannot enable SMS without explicit consent action.",P1,Frontend,PR8,announcements sms
Epic F — Analytics that matter,Epic,,Roadmap: read time series CTR proxy ack completion snapshots dashboard UI.,"Epic complete when: analytics API rich; optional nightly snapshot; FE sheet and ack export.",P1,Announcements,,announcements roadmap
DB: AnnouncementAnalyticsSnapshot model,Story,Epic F — Analytics that matter,"snapshotAt impressions uniqueReaders readRate likes acknowledgedCount linkClicks FK announcement.","Migration succeeds.",P1,Database,PR1,announcements analytics
DB: AnnouncementLinkClick model,Story,Epic F — Analytics that matter,"announcementId userId url clickedAt index for aggregates.","GDPR note in ticket description.",P1,Database,PR1,announcements analytics
BE: Extend GET /:id/analytics read rate time series,Story,Epic F — Analytics that matter,"Group AnnouncementRead by hour since publishedAt cumulative unique readers.","Response documented JSON schema. Performance ok for 10k reads.",P1,Backend,PR9,announcements analytics
BE: GET /r/:announcementId/:token redirect CTR proxy,Story,Epic F — Analytics that matter,"Decode target URL validate domain allowlist log click then 302.","Abuse rate limit per IP. Invalid token 404.",P1,Backend,PR9,announcements analytics
BE: Acknowledgement completion in analytics response,Story,Epic F — Analytics that matter,"Counts acknowledged vs eligible recipients for acknowledgementRequired posts.","Dean-only or same as detail permission.",P1,Backend,PR9,announcements analytics
BE: Nightly job snapshot AnnouncementAnalyticsSnapshot,Story,Epic F — Analytics that matter,"Cron aggregates hot metrics for dashboard.","Idempotent per day per announcement or upsert policy.",P1,Backend,PR9,announcements analytics
FE: announcement-analytics-sheet from card menu,Story,Epic F — Analytics that matter,"Right sheet charts reads over time link clicks ack rate polls every 30s when open.","Loading empty error states.",P1,Frontend,PR10,announcements analytics
